wheel-base,curb-weight,MinMax WB,MinMax CW,Z Score WB,Z Score CW,,,,,,,
93.7,2191,0.206997085,0.163793103,-0.83971666,-0.359671465,,,,,,,
103.3,2535,0.486880466,0.243942218,0.754497489,0.246833358,,,,,,,
95.9,2811,0.271137026,0.308247903,-0.474375918,0.733447693,,,,,,,
86.6,1713,0,0.052423113,-2.018770875,-1.202431074,,,,,,,
86.6,1819,0,0.077120224,-2.018770875,-1.01554296,,,,,,,
93.7,1837,0.206997085,0.081314073,-0.83971666,-0.983807242,,,,,,,
93.7,1940,0.206997085,0.105312209,-0.83971666,-0.802208414,,,,,,,
93.7,1956,0.206997085,0.109040075,-0.83971666,-0.773998888,,,,,,,
96.5,2010,0.288629738,0.121621622,-0.374737533,-0.678791735,,,,,,,
96.5,2024,0.288629738,0.124883504,-0.374737533,-0.654108399,,,,,,,
96.5,2236,0.288629738,0.174277726,-0.374737533,-0.280332171,,,,,,,
96.5,2289,0.288629738,0.186626281,-0.374737533,-0.186888114,,,,,,,
96.5,2304,0.288629738,0.190121156,-0.374737533,-0.160441683,,,,,,,
96.5,2372,0.288629738,0.205964585,-0.374737533,-0.040551195,,,,,,,
96.5,2465,0.288629738,0.227632805,-0.374737533,0.123416679,,,,,,,
96.5,2293,0.288629738,0.187558248,-0.374737533,-0.179835732,,,,,,,
94.3,2337,0.224489796,0.197809879,-0.740078276,-0.102259534,,,,,,,
94.5,1874,0.2303207,0.089934762,-0.706865481,-0.918572712,,,,,,,
94.5,1909,0.2303207,0.098089469,-0.706865481,-0.856864372,,,,,,,
96,2734,0.274052478,0.290307549,-0.45776952,0.597689346,,,,,,,
113,4066,0.7696793,0.600652377,2.365318036,2.94613244,,,,,,,
113,4066,0.7696793,0.600652377,2.365318036,2.94613244,,,,,,,
102,3950,0.448979592,0.573625349,0.538614323,2.741613372,,,,,,,
93.1,1890,0.189504373,0.093662628,-0.939355044,-0.890363185,,,,,,,
93.1,1900,0.189504373,0.095992544,-0.939355044,-0.872732231,,,,,,,
93.1,1905,0.189504373,0.097157502,-0.939355044,-0.863916754,,,,,,,
93.1,1945,0.189504373,0.106477167,-0.939355044,-0.793392937,,,,,,,
93.1,1950,0.189504373,0.107642125,-0.939355044,-0.78457746,,,,,,,
95.3,2380,0.253644315,0.207828518,-0.574014302,-0.026446431,,,,,,,
95.3,2380,0.253644315,0.207828518,-0.574014302,-0.026446431,,,,,,,
95.3,2385,0.253644315,0.208993476,-0.574014302,-0.017630954,,,,,,,
95.3,2500,0.253644315,0.235787512,-0.574014302,0.185125019,,,,,,,
98.8,2385,0.355685131,0.208993476,0.007209607,-0.017630954,,,,,,,
98.8,2410,0.355685131,0.214818267,0.007209607,0.026446431,,,,,,,
98.8,2385,0.355685131,0.208993476,0.007209607,-0.017630954,,,,,,,
98.8,5780,0.355685131,1,0.007209607,5.968077983,,,,,,,
98.8,2443,0.355685131,0.22250699,0.007209607,0.08462858,,,,,,,
98.8,2425,0.355685131,0.218313141,0.007209607,0.052892862,,,,,,,
104.9,2670,0.533527697,0.275396086,1.020199847,0.484851239,,,,,,,
104.9,2700,0.533527697,0.282385834,1.020199847,0.537744102,,,,,,,
110,3515,0.682215743,0.472273998,1.867126114,1.974666866,,,,,,,
110,3750,0.682215743,0.527027027,1.867126114,2.388994289,,,,,,,
106.7,3495,0.586005831,0.467614166,1.319115,1.939404957,,,,,,,
115.6,3770,0.84548105,0.531686859,2.797084368,2.424256197,,,,,,,
115.6,3740,0.84548105,0.524697111,2.797084368,2.371363334,,,,,,,
96.6,3685,0.29154519,0.511882572,-0.358131136,2.274393087,,,,,,,
120.9,3900,1,0.561975769,3.677223429,2.653458601,,,,,,,
112,3715,0.740524781,0.518872321,2.199254062,2.327285949,,,,,,,
102.7,2910,0.469387755,0.331314073,0.654859105,0.907994139,,,,,,,
93.7,1918,0.206997085,0.100186393,-0.83971666,-0.840996513,,,,,,,
93.7,1944,0.206997085,0.106244175,-0.83971666,-0.795156033,,,,,,,
93.7,2004,0.206997085,0.120223672,-0.83971666,-0.689370308,,,,,,,
93,2145,0.186588921,0.153075489,-0.955961442,-0.440773854,,,,,,,
96.3,2370,0.282798834,0.205498602,-0.407950328,-0.044077385,,,,,,,
96.3,2328,0.282798834,0.195712954,-0.407950328,-0.118127393,,,,,,,
95.9,2833,0.271137026,0.313373719,-0.474375918,0.772235792,,,,,,,
95.9,2921,0.271137026,0.33387698,-0.474375918,0.927388189,,,,,,,
95.9,2926,0.271137026,0.335041938,-0.474375918,0.936203666,,,,,,,
96.3,2365,0.282798834,0.204333644,-0.407950328,-0.052892862,,,,,,,
96.3,2405,0.282798834,0.213653308,-0.407950328,0.017630954,,,,,,,
96.3,2403,0.282798834,0.213187325,-0.407950328,0.014104763,,,,,,,
96.3,2403,0.282798834,0.213187325,-0.407950328,0.014104763,,,,,,,
94.5,1889,0.2303207,0.093429637,-0.706865481,-0.89212628,,,,,,,
94.5,2017,0.2303207,0.123252563,-0.706865481,-0.666450067,,,,,,,
94.5,1918,0.2303207,0.100186393,-0.706865481,-0.840996513,,,,,,,
94.5,1938,0.2303207,0.104846226,-0.706865481,-0.805734605,,,,,,,
94.5,2024,0.2303207,0.124883504,-0.706865481,-0.654108399,,,,,,,
94.5,1951,0.2303207,0.107875116,-0.706865481,-0.782814365,,,,,,,
94.5,2028,0.2303207,0.125815471,-0.706865481,-0.647056018,,,,,,,
94.5,1971,0.2303207,0.112534949,-0.706865481,-0.747552456,,,,,,,
94.5,2037,0.2303207,0.127912395,-0.706865481,-0.631188159,,,,,,,
95.1,2008,0.247813411,0.121155638,-0.607227097,-0.682317926,,,,,,,
97.2,2324,0.309037901,0.194780988,-0.258492752,-0.125179775,,,,,,,
97.2,2302,0.309037901,0.189655172,-0.258492752,-0.163967874,,,,,,,
100.4,3095,0.402332362,0.374417521,0.272911965,1.234166791,,,,,,,
100.4,3296,0.402332362,0.421248835,0.272911965,1.58854897,,,,,,,
100.4,3060,0.402332362,0.366262815,0.272911965,1.172458452,,,,,,,
91.3,3071,0.137026239,0.368825722,-1.238270197,1.191852501,,,,,,,
91.3,3139,0.137026239,0.384669152,-1.238270197,1.311742989,,,,,,,
99.2,3139,0.367346939,0.384669152,0.073635196,1.311742989,,,,,,,
107.9,3020,0.620991254,0.35694315,1.518391769,1.101934635,,,,,,,
107.9,3197,0.620991254,0.398182665,1.518391769,1.414002524,,,,,,,
114.2,3230,0.804664723,0.405871389,2.564594804,1.472184672,,,,,,,
114.2,3430,0.804664723,0.452469711,2.564594804,1.824803755,,,,,,,
107.9,3075,0.620991254,0.369757689,1.518391769,1.198904883,,,,,,,
107.9,3252,0.620991254,0.410997204,1.518391769,1.510972771,,,,,,,
114.2,3285,0.804664723,0.418685927,2.564594804,1.56915492,,,,,,,
114.2,3485,0.804664723,0.46528425,2.564594804,1.921774003,,,,,,,
107.9,3075,0.620991254,0.369757689,1.518391769,1.198904883,,,,,,,
107.9,3252,0.620991254,0.410997204,1.518391769,1.510972771,,,,,,,
108,3130,0.623906706,0.382572227,1.534998166,1.295875131,,,,,,,
93.7,1918,0.206997085,0.100186393,-0.83971666,-0.840996513,,,,,,,
93.7,2128,0.206997085,0.149114632,-0.83971666,-0.470746476,,,,,,,
93.7,1967,0.206997085,0.111602982,-0.83971666,-0.754604838,,,,,,,
93.7,1989,0.206997085,0.116728798,-0.83971666,-0.715816739,,,,,,,
93.7,2191,0.206997085,0.163793103,-0.83971666,-0.359671465,,,,,,,
103.3,2535,0.486880466,0.243942218,0.754497489,0.246833358,,,,,,,
95.9,2818,0.271137026,0.309878844,-0.474375918,0.745789361,,,,,,,
94.5,2778,0.2303207,0.30055918,-0.706865481,0.675265544,,,,,,,
89.5,2756,0.084548105,0.295433364,-1.53718535,0.636477445,,,,,,,
89.5,2756,0.084548105,0.295433364,-1.53718535,0.636477445,,,,,,,
89.5,2800,0.084548105,0.305684995,-1.53718535,0.714053643,,,,,,,
98.4,3366,0.344023324,0.437558248,-0.059215983,1.711965649,,,,,,,
96.1,2579,0.27696793,0.254193849,-0.441163123,0.324409557,,,,,,,
96.1,2460,0.27696793,0.226467847,-0.441163123,0.114601202,,,,,,,
99.1,2658,0.364431487,0.272600186,0.057028799,0.463694094,,,,,,,
99.1,2695,0.364431487,0.281220876,0.057028799,0.528928625,,,,,,,
99.1,2707,0.364431487,0.284016775,0.057028799,0.55008577,,,,,,,
99.1,2758,0.364431487,0.295899348,0.057028799,0.640003636,,,,,,,
99.1,2808,0.364431487,0.307548928,0.057028799,0.728158407,,,,,,,
99.1,2847,0.364431487,0.316635601,0.057028799,0.796919128,,,,,,,
93.7,2050,0.206997085,0.130941286,-0.83971666,-0.608267918,,,,,,,
93.7,2120,0.206997085,0.147250699,-0.83971666,-0.484851239,,,,,,,
93.3,2240,0.195335277,0.175209692,-0.90614225,-0.273279789,,,,,,,
97.2,2145,0.309037901,0.153075489,-0.258492752,-0.440773854,,,,,,,
97.2,2190,0.309037901,0.163560112,-0.258492752,-0.36143456,,,,,,,
97.2,2340,0.309037901,0.198508854,-0.258492752,-0.096970248,,,,,,,
97,2385,0.303206997,0.208993476,-0.291705546,-0.017630954,,,,,,,
97,2510,0.303206997,0.238117428,-0.291705546,0.202755973,,,,,,,
97,2290,0.303206997,0.186859273,-0.291705546,-0.185125019,,,,,,,
97,2455,0.303206997,0.225302889,-0.291705546,0.105785725,,,,,,,
96.9,2420,0.300291545,0.217148183,-0.308311944,0.044077385,,,,,,,
96.9,2650,0.300291545,0.270736253,-0.308311944,0.449589331,,,,,,,
95.7,1985,0.265306122,0.115796831,-0.507588712,-0.722869121,,,,,,,
95.7,2040,0.265306122,0.12861137,-0.507588712,-0.625898873,,,,,,,
95.7,2015,0.265306122,0.12278658,-0.507588712,-0.669976258,,,,,,,
95.7,2280,0.265306122,0.184529357,-0.507588712,-0.202755973,,,,,,,
95.7,2290,0.265306122,0.186859273,-0.507588712,-0.185125019,,,,,,,
95.7,3110,0.265306122,0.377912395,-0.507588712,1.260613222,,,,,,,
95.7,2081,0.265306122,0.138164026,-0.507588712,-0.553611961,,,,,,,
95.7,2109,0.265306122,0.144687791,-0.507588712,-0.504245289,,,,,,,
95.7,2275,0.265306122,0.183364399,-0.507588712,-0.21157145,,,,,,,
95.7,2275,0.265306122,0.183364399,-0.507588712,-0.21157145,,,,,,,
95.7,2094,0.265306122,0.141192917,-0.507588712,-0.53069172,,,,,,,
95.7,2122,0.265306122,0.147716682,-0.507588712,-0.481325049,,,,,,,
95.7,2140,0.265306122,0.151910531,-0.507588712,-0.449589331,,,,,,,
94.5,2169,0.2303207,0.158667288,-0.706865481,-0.398459564,,,,,,,
94.5,2204,0.2303207,0.166821994,-0.706865481,-0.336751224,,,,,,,
94.5,2265,0.2303207,0.181034483,-0.706865481,-0.229202404,,,,,,,
94.5,2300,0.2303207,0.189189189,-0.706865481,-0.167494065,,,,,,,
98.4,2540,0.344023324,0.245107176,-0.059215983,0.255648835,,,,,,,
98.4,2536,0.344023324,0.24417521,-0.059215983,0.248596454,,,,,,,
98.4,2551,0.344023324,0.247670084,-0.059215983,0.275042885,,,,,,,
98.4,2679,0.344023324,0.27749301,-0.059215983,0.500719098,,,,,,,
98.4,2714,0.344023324,0.285647717,-0.059215983,0.562427438,,,,,,,
98.4,2975,0.344023324,0.346458527,-0.059215983,1.022595341,,,,,,,
102.4,2326,0.460641399,0.195246971,0.605039913,-0.121653584,,,,,,,
102.4,2480,0.460641399,0.231127679,0.605039913,0.14986311,,,,,,,
102.4,2414,0.460641399,0.215750233,0.605039913,0.033498813,,,,,,,
102.4,2414,0.460641399,0.215750233,0.605039913,0.033498813,,,,,,,
102.4,2458,0.460641399,0.226001864,0.605039913,0.111075011,,,,,,,
102.9,2976,0.475218659,0.346691519,0.6880719,1.024358437,,,,,,,
102.9,3016,0.475218659,0.356011184,0.6880719,1.094882253,,,,,,,
104.5,3131,0.521865889,0.382805219,0.953774258,1.297638226,,,,,,,
104.5,3151,0.521865889,0.387465051,0.953774258,1.332900134,,,,,,,
97.3,2261,0.311953353,0.180102516,-0.241886354,-0.236254786,,,,,,,
97.3,2209,0.311953353,0.167986952,-0.241886354,-0.327935747,,,,,,,
97.3,2264,0.311953353,0.180801491,-0.241886354,-0.230965499,,,,,,,
97.3,2212,0.311953353,0.168685927,-0.241886354,-0.322646461,,,,,,,
97.3,2275,0.311953353,0.183364399,-0.241886354,-0.21157145,,,,,,,
97.3,2319,0.311953353,0.19361603,-0.241886354,-0.133995252,,,,,,,
97.3,2300,0.311953353,0.189189189,-0.241886354,-0.167494065,,,,,,,
94.5,2254,0.2303207,0.178471575,-0.706865481,-0.248596454,,,,,,,
94.5,2221,0.2303207,0.170782852,-0.706865481,-0.306778602,,,,,,,
100.4,2661,0.402332362,0.273299161,0.272911965,0.468983381,,,,,,,
100.4,2579,0.402332362,0.254193849,0.272911965,0.324409557,,,,,,,
100.4,2563,0.402332362,0.250465983,0.272911965,0.29620003,,,,,,,
104.3,2912,0.516034985,0.331780056,0.920561463,0.91152033,,,,,,,
104.3,3034,0.516034985,0.360205033,0.920561463,1.126617971,,,,,,,
104.3,2935,0.516034985,0.337138863,0.920561463,0.952071525,,,,,,,
104.3,3042,0.516034985,0.362068966,0.920561463,1.140722734,,,,,,,
104.3,3045,0.516034985,0.36276794,0.920561463,1.14601202,,,,,,,
104.3,3157,0.516034985,0.388863001,0.920561463,1.343478707,,,,,,,
109.1,2952,0.655976676,0.34109972,1.717668538,0.982044147,,,,,,,
109.1,3049,0.655976676,0.363699907,1.717668538,1.153064402,,,,,,,
109.1,3012,0.655976676,0.355079217,1.717668538,1.087829872,,,,,,,
109.1,3217,0.655976676,0.402842498,1.717668538,1.449264432,,,,,,,
109.1,3062,0.655976676,0.366728798,1.717668538,1.175984642,,,,,,,
